Connection Number,Connection Type,Connection Name,Start Unit Name,Start Unit Port,End Unit Name,End Unit Port,Label,fluid,mass flow rate,temperature,pressure
1,Connection,c1,source,out1,E3_return,in1,1,water,50,55,101.325
2,Connection,c1a,JW_HEX_E3,out1,E3_return,in2,1a,,,80,
3,Connection,c2a,JW_HEX_E2,out1,E2_return,in2,2a,,,80,
4,Connection,c2,E3_return,out1,E2_return,in1,2,,,,
5,Connection,c3,E2_return,out1,E1_return,in1,3,,,,
6,Connection,c3a,JW_HEX_E1,out1,E1_return,in2,3a,,,80,
7,Connection,c4,E1_return,out1,Supplemental_supply,in1,4,,,,
8,Connection,c6,Supplemental_supply,out1,Supplemental_return,in1,6,,,,
9,Connection,c6a,Supplemental_supply,out2,Cond_Splitter,in1,6a,,,,
10,Connection,c6b,Cond_Splitter,out1,Cond_Merger,in1,6b,,,,
11,Connection,c6c,Cond_Splitter,out2,Suppl_Cond_Cooler,in1,6c,,25,,
12,Connection,c6d,Suppl_Cond_Cooler,out1,Cond_Merger,in2,6d,,,,
13,Connection,c6e,Cond_Merger,out1,Supplemental_Converter,in1,6e,,,,
14,Connection,c6f,Supplemental_Converter,out1,Supplemental_return,in2,6f,,,92,
15,Connection,c7,Supplemental_return,out1,Admin_total_supply,in1,7,,,,
16,Connection,c7a,Admin_total_supply,out2,Admin_HEX,in1,7a,,20,,
17,Connection,c8,Admin_total_supply,out1,Admin_total_return,in1,8,,,,
18,Connection,c8a,Admin_HEX,out1,Admin_total_return,in2,8a,,,,
19,Connection,c9,Admin_total_return,out1,Control_Center_supply,in1,9,,,,
20,Connection,c9a,Control_Center_supply,out2,Control_Center_HEX,in1,9a,,25,,
21,Connection,c10,Control_Center_supply,out1,Control_Center_return,in1,10,,,,
22,Connection,c10a,Control_Center_HEX,out1,Control_Center_return,in2,10a,,,,
23,Connection,c11,Control_Center_return,out1,Digester_5_6_supply,in1,11,,,,
24,Connection,c11a,Digester_5_6_supply,out2,Digester_5_6_HEX,in1,11a,,22,,
25,Connection,c12,Digester_5_6_supply,out1,Digester_5_6_return,in1,12,,,,
26,Connection,c12a,Digester_5_6_HEX,out1,Digester_5_6_return,in2,12a,,,,
27,Connection,c13,Digester_5_6_return,out1,Boiler_A_supply,in1,13,,,,
28,Connection,c13a,Boiler_A_supply,out2,Boiler_A_HEX,in1,13a,,25,,
29,Connection,c14,Boiler_A_supply,out1,Boiler_A_return,in1,14,,,,
30,Connection,c14a,Boiler_A_HEX,out1,Boiler_A_return,in2,14a,,,,
31,Connection,c15,Boiler_A_return,out1,Boiler_B_supply,in1,15,,,,
32,Connection,c15a,Boiler_B_supply,out2,Boiler_B_HEX,in1,15a,,20,,
33,Connection,c16,Boiler_B_supply,out1,Boiler_B_return,in1,16,,,,
34,Connection,c16a,Boiler_B_HEX,out1,Boiler_B_return,in2,16a,,,,
35,Connection,c17,Boiler_B_return,out1,Digester_7_to_10_supply,in1,17,,,,
36,Connection,c17a,Digester_7_to_10_supply,out2,Digester_7_to_10_HEX,in1,17a,,25,,
37,Connection,c18,Digester_7_to_10_supply,out1,Digester_7_to_10_return,in1,18,,,,
38,Connection,c18a,Digester_7_to_10_HEX,out1,Digester_7_to_10_return,in2,18a,,,,
39,Connection,c19,Digester_7_to_10_return,out1,Digester_15_16_supply,in1,19,,,,
40,Connection,c19a,Digester_15_16_supply,out2,Digester_15_16_HEX,in1,19a,,10,,
41,Connection,c20,Digester_15_16_supply,out1,Digester_11_to_14_supply,in1,20,,,,
42,Connection,c20a,Digester_11_to_14_supply,out2,Digester_11_to_14_HEX,in1,20a,,20,,
43,Connection,c21,Digester_11_to_14_supply,out1,Digester_11_to_14_return,in1,21,,,,
44,Connection,c21a,Digester_11_to_14_HEX,out1,Digester_11_to_14_return,in2,21a,,,,
45,Connection,c22,Digester_11_to_14_return,out1,Digester_15_16_return,in1,22,,,,
46,Connection,c23,Digester_15_16_HEX,out1,Digester_15_16_return,in2,23,,,,
47,Connection,c24,Digester_15_16_return,out1,Waste_HEX1_supply,in1,24,,,,
48,Connection,c24a,Waste_HEX1_supply,out2,Waste_HEX1,in1,24a,,25,,
49,Connection,c25,Waste_HEX1_supply,out1,Waste_HEX2_return,in1,25,,,,
50,Connection,c26,Waste_HEX2_return,out1,Waste_HEX2_supply,in1,26,,,,
51,Connection,c27,Waste_HEX2_supply,out1,Waste_HEX1_return,in1,27,,,,
52,Connection,c27a,Waste_HEX1,out1,Waste_HEX1_return,in2,27a,,,,
53,Connection,c26a,Waste_HEX2_supply,out2,Waste_HEX2,in1,26a,,25,,
54,Connection,c25a,Waste_HEX2,out1,Waste_HEX2_return,in2,25a,,,,
55,Connection,c28,Waste_HEX1_return,out1,E1_supply,in1,28,,,,
56,Connection,c28a,E1_supply,out2,JW_HEX_E1,in1,28a,,,,
57,Connection,c29,E1_supply,out1,E2_supply,in1,29,,,,
58,Connection,c29a,E2_supply,out2,JW_HEX_E2,in1,29a,,,,
59,Connection,c30,E2_supply,out1,E3_supply,in1,30,,,,
60,Connection,c30a,E3_supply,out2,JW_HEX_E3,in1,30a,,,,
61,Connection,c31,E3_supply,out1,sink,in1,31,,,,
